Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Range
0.0,29499,2,14749.5,14749.5,8046,21453,9480.2,myelin-exec:/layers.14/mlp/gate_proj/MatMul_myl0_684
0.0,29481,2,14740.5,14740.5,6018,23463,12335.5,myelin-exec:/layers.5/mlp/down_proj/MatMul_myl0_462
0.0,29342,2,14671.0,14671.0,6009,23333,12249.9,myelin-exec:/vision_tower/vision_model/encoder/layers.1/mlp/fc2/MatMul_myl0_25
0.0,29306,2,14653.0,14653.0,10361,18945,6069.8,myelin-exec:/layers.1/self_attn_8/MatMul_myl0_2941
0.0,29195,2,14597.5,14597.5,1111,28084,19072.8,myelin-exec:__myl_Slic_myl0_1672
0.0,29168,2,14584.0,14584.0,9195,19973,7621.2,myelin-exec:/layers.12/mlp/down_proj/MatMul_myl0_637
0.0,29120,2,14560.0,14560.0,7000,22120,10691.5,myelin-exec:/layers.15/mlp/down_proj/MatMul_myl0_712
0.0,29009,2,14504.5,14504.5,6296,22713,11608.6,myelin-exec:/layers.6/mlp/down_proj/MatMul_myl0_487
0.0,28945,2,14472.5,14472.5,5519,23426,12662.2,myelin-exec:/layers.8/mlp/gate_proj/MatMul_myl0_534
0.0,28814,2,14407.0,14407.0,6675,22139,10934.7,myelin-exec:/layers.10/mlp/up_proj/MatMul_myl0_582
0.0,28703,2,14351.5,14351.5,2157,26546,17245.6,myelin-exec:__myl_SlicReshTranSlicNegSlicConcMulMulAddCastMulCast_myl0_1755
0.0,28694,2,14347.0,14347.0,7870,20824,9159.9,myelin-exec:/layers.12/mlp/up_proj/MatMul_myl0_632
0.0,28629,2,14314.5,14314.5,6296,22333,11339.9,myelin-exec:/vision_tower/vision_model/encoder/layers.2/self_attn/v_proj/MatMul+/vision_tower/vision_model/encoder/layers.2/self_attn/k_proj/MatMul+/vision_tower/vision_model/encoder/layers.2/self_attn/q_proj/MatMul_myl0_27
0.0,28621,2,14310.5,14310.5,4454,24167,13939.2,myelin-exec:__myl_Fc_myl0_1734
0.0,28564,2,14282.0,14282.0,6129,22435,11530.1,myelin-exec:__myl_Fc_myl0_1584
0.0,28537,2,14268.5,14268.5,7611,20926,9415.1,myelin-exec:__myl_Fc_myl0_504
0.0,28416,2,14208.0,14208.0,1046,27370,18613.9,myelin-exec:__myl_AddCastMulMeanAddSqrtDivMulMulAddCastMulCast_myl0_1579
0.0,28277,2,14138.5,14138.5,7148,21129,9886.1,myelin-exec:__myl_Fc_myl0_490
0.0,28268,2,14134.0,14134.0,8287,19981,8268.9,myelin-exec:__myl_Fc_myl0_623
0.0,28260,2,14130.0,14130.0,5963,22297,11549.9,myelin-exec:/layers.16/mlp/gateup_proj_8/MatMul_myl0_3515
0.0,28240,2,14120.0,14120.0,4851,23389,13108.3,myelin-exec:/vision_tower/vision_model/encoder/layers.3/self_attn/out_proj/MatMul_myl0_44
0.0,28204,2,14102.0,14102.0,8167,20037,8393.4,myelin-exec:/layers.11/mlp/gateup_proj_3/MatMul_myl0_1885
0.0,28130,2,14065.0,14065.0,8232,19898,8249.1,myelin-exec:/layers.13/mlp/gate_proj/MatMul_myl0_659
0.0,28111,2,14055.5,14055.5,6453,21658,10751.6,myelin-exec:/layers.11/mlp/gateup_proj_4/MatMul_myl0_2194
0.0,28101,2,14050.5,14050.5,6407,21694,10809.5,myelin-exec:/layers.7/mlp/gate_proj/MatMul_myl0_509
0.0,28101,2,14050.5,14050.5,9731,18370,6108.7,myelin-exec:__myl_Fc_myl0_306
0.0,27973,2,13986.5,13986.5,8139,19834,8269.6,myelin-exec:/layers.17/mlp/gateup_proj_8/MatMul_myl0_3532
0.0,27945,2,13972.5,13972.5,1222,26723,18031.9,myelin-exec:__myl_SlicReshSlicNegSlicConcMulMulAddTran_myl0_1754
0.0,27898,2,13949.0,13949.0,6796,21102,10115.9,myelin-exec:/layers.15/self_attn/qk_matmul/MatMul_myl0_695
0.0,27862,2,13931.0,13931.0,6075,21787,11110.1,myelin-exec:/layers.7/mlp/up_proj/MatMul_myl0_507
0.0,27740,2,13870.0,13870.0,5926,21814,11234.5,myelin-exec:/layers.16/self_attn/av_matmul/MatMul_myl0_725
0.0,27630,2,13815.0,13815.0,5861,21769,11248.7,myelin-exec:/layers.10/mlp/gate_proj/MatMul_myl0_584
0.0,27482,2,13741.0,13741.0,3963,23519,13828.2,myelin-exec:__myl_AddReshCastMulMeanAddSqrtDivMulMulCastReshDyna_myl0_330
0.0,27445,2,13722.5,13722.5,5963,21482,10973.6,myelin-exec:/layers.4/mlp/down_proj/MatMul_myl0_437
0.0,27213,2,13606.5,13606.5,6010,21203,10743.1,myelin-exec:/layers.4/mlp/gate_proj/MatMul_myl0_434
0.0,27204,2,13602.0,13602.0,4343,22861,13094.2,myelin-exec:__myl_Fc_myl0_1555
0.0,27195,2,13597.5,13597.5,8121,19074,7744.9,myelin-exec:/layers.13/mlp/up_proj/MatMul_myl0_657
0.0,27111,2,13555.5,13555.5,5759,21352,11025.9,myelin-exec:/layers.10/mlp/down_proj/MatMul_myl0_587
0.0,27010,2,13505.0,13505.0,6019,20991,10586.8,myelin-exec:/layers.6/mlp/gate_proj/MatMul_myl0_484
0.0,26963,2,13481.5,13481.5,7361,19602,8655.7,myelin-exec:/layers.1/mlp/up_proj/MatMul_myl0_357
0.0,26769,2,13384.5,13384.5,5935,20834,10535.2,myelin-exec:/layers.5/mlp/gate_proj/MatMul_myl0_459
0.0,26723,2,13361.5,13361.5,3852,22871,13448.5,myelin-exec:/layers.10/self_attn_3/MatMul_1_myl0_1554
0.0,26721,2,13360.5,13360.5,7592,19129,8157.9,myelin-exec:/layers.12/mlp/gate_proj/MatMul_myl0_634
0.0,26675,2,13337.5,13337.5,9416,17259,5545.8,myelin-exec:__myl_Fc_myl0_323
0.0,26648,2,13324.0,13324.0,1074,25574,17324.1,myelin-exec:__myl_AddCastMulMeanAddSqrtDivMulMulAddCastMulCast_myl0_1541
0.0,26620,2,13310.0,13310.0,3722,22898,13559.5,myelin-exec:/layers.15/self_attn_3/MatMul_myl0_1634
0.0,26602,2,13301.0,13301.0,7287,19315,8505.1,myelin-exec:/layers.13/self_attn/qk_matmul/MatMul_myl0_645
0.0,26517,2,13258.5,13258.5,7814,18703,7699.7,myelin-exec:/layers.14/self_attn/qk_matmul/MatMul_myl0_670
0.0,26491,2,13245.5,13245.5,6195,20296,9970.9,myelin-exec:/layers.9/mlp/gate_proj/MatMul_myl0_559
0.0,26371,2,13185.5,13185.5,5593,20778,10737.4,myelin-exec:/layers.8/self_attn/qk_matmul/MatMul_myl0_520
0.0,26342,2,13171.0,13171.0,6037,20305,10089.0,myelin-exec:/vision_tower/vision_model/encoder/layers.1/mlp/fc1/MatMul_myl0_24
0.0,26333,2,13166.5,13166.5,12417,13916,1060.0,myelin-exec:/layers.8/self_attn_3/MatMul_1_myl0_1520
0.0,26315,2,13157.5,13157.5,5713,20602,10528.1,myelin-exec:/layers.13/mlp/gateup_proj_7/MatMul_myl0_3155
0.0,26305,2,13152.5,13152.5,5509,20796,10809.5,myelin-exec:/vision_tower/vision_model/encoder/layers.2/self_attn/out_proj/MatMul_myl0_33
0.0,26296,2,13148.0,13148.0,6546,19750,9336.6,myelin-exec:/layers.6/mlp/up_proj/MatMul_myl0_482
0.0,26240,2,13120.0,13120.0,8490,17750,6547.8,myelin-exec:__myl_Fc_myl0_715
0.0,26120,2,13060.0,13060.0,4991,21129,11411.3,myelin-exec:/layers.3/self_attn/qk_matmul/MatMul_myl0_395
0.0,26101,2,13050.5,13050.5,6018,20083,9945.5,myelin-exec:/layers.9/mlp/up_proj/MatMul_myl0_557
0.0,26093,2,13046.5,13046.5,6130,19963,9781.4,myelin-exec:/layers.1/mlp/gateup_proj/MatMul_myl0_785
0.0,26093,2,13046.5,13046.5,4611,21482,11929.6,myelin-exec:/vision_tower/vision_model/encoder/layers.6/self_attn/out_proj/MatMul_myl0_77
0.0,26057,2,13028.5,13028.5,4297,21760,12348.2,myelin-exec:/vision_tower/vision_model/encoder/layers.8/self_attn/out_proj/MatMul_myl0_99
0.0,26055,2,13027.5,13027.5,4611,21444,11902.7,myelin-exec:/vision_tower/vision_model/encoder/layers.23/self_attn/out_proj/MatMul_myl0_264
0.0,26000,2,13000.0,13000.0,7491,18509,7790.9,myelin-exec:/layers.15/mlp/gate_proj/MatMul_myl0_709
0.0,25908,2,12954.0,12954.0,5204,20704,10960.2,myelin-exec:/layers.0/self_attn/qk_matmul/MatMul_myl0_318
0.0,25815,2,12907.5,12907.5,5074,20741,11078.2,myelin-exec:/layers.9/mlp/gateup_proj_4/MatMul_myl0_2160
0.0,25685,2,12842.5,12842.5,5704,19981,10095.4,myelin-exec:/layers.8/mlp/down_proj/MatMul_myl0_537
0.0,25658,2,12829.0,12829.0,2732,22926,14279.3,myelin-exec:/layers.2/self_attn_4/MatMul_myl0_1722
0.0,25658,2,12829.0,12829.0,6250,19408,9304.1,myelin-exec:/layers.8/mlp/up_proj/MatMul_myl0_532
0.0,25555,2,12777.5,12777.5,3333,22222,13356.5,myelin-exec:__myl_SlicSlicMulMulMulAddMulTanhAddMulMulMulMulCast_myl0_1679
0.0,25546,2,12773.0,12773.0,6574,18972,8766.7,myelin-exec:/layers.15/self_attn/av_matmul/MatMul_myl0_700
0.0,25528,2,12764.0,12764.0,6000,19528,9565.7,myelin-exec:/layers.10/mlp/gateup_proj_3/MatMul_myl0_1868
0.0,25519,2,12759.5,12759.5,2028,23491,15176.6,myelin-exec:__myl_AddCastMulMeanAddSqrtDivMulMulAddCastMulCast_myl0_1558
0.0,25510,2,12755.0,12755.0,5371,20139,10442.6,myelin-exec:/vision_tower/vision_model/encoder/layers.3/self_attn/v_proj/MatMul+/vision_tower/vision_model/encoder/layers.3/self_attn/k_proj/MatMul+/vision_tower/vision_model/encoder/layers.3/self_attn/q_proj/MatMul_myl0_38
0.0,25472,2,12736.0,12736.0,2037,23435,15130.7,myelin-exec:__myl_AddCastMulMeanAddSqrtDivMulMulAddCastMulCast_myl0_1697
0.0,25435,2,12717.5,12717.5,6981,18454,8112.6,myelin-exec:/layers.1/mlp/gate_proj/MatMul_myl0_359
0.0,25407,2,12703.5,12703.5,4611,20796,11444.5,myelin-exec:/vision_tower/vision_model/encoder/layers.17/self_attn/out_proj/MatMul_myl0_198
0.0,25398,2,12699.0,12699.0,5509,19889,10168.2,myelin-exec:/layers.4/mlp/gateup_proj_7/MatMul_myl0_3002
0.0,25379,2,12689.5,12689.5,3472,21907,13035.5,myelin-exec:/layers.13/self_attn_3/MatMul_1_myl0_1605
0.0,25379,2,12689.5,12689.5,4555,20824,11503.9,myelin-exec:__myl_Fc_myl0_1684
0.0,25325,2,12662.5,12662.5,5621,19704,9958.2,myelin-exec:/layers.9/mlp/down_proj/MatMul_myl0_562
0.0,25315,2,12657.5,12657.5,3556,21759,12871.5,myelin-exec:/layers.1/self_attn_4/MatMul_myl0_1705
0.0,25277,2,12638.5,12638.5,4027,21250,12178.5,myelin-exec:/layers.17/self_attn_1/MatMul_1_myl0_1052
0.0,25277,2,12638.5,12638.5,7287,17990,7568.2,myelin-exec:/layers.7/mlp/gateup_proj/MatMul_myl0_887
0.0,25269,2,12634.5,12634.5,3408,21861,13048.2,myelin-exec:__myl_Fc_myl0_1597
0.0,25259,2,12629.5,12629.5,6315,18944,8930.1,myelin-exec:/layers.2/mlp/down_proj/MatMul_myl0_387
0.0,25157,2,12578.5,12578.5,5861,19296,9500.0,myelin-exec:/layers.10/self_attn/av_matmul/MatMul_myl0_575
0.0,25148,2,12574.0,12574.0,6657,18491,8367.9,myelin-exec:__myl_Fc_myl0_604
0.0,25139,2,12569.5,12569.5,3852,21287,12328.4,myelin-exec:/layers.14/self_attn_3/MatMul_1_myl0_1622
0.0,25130,2,12565.0,12565.0,4593,20537,11274.1,myelin-exec:/vision_tower/vision_model/encoder/layers.10/self_attn/v_proj/MatMul+/vision_tower/vision_model/encoder/layers.10/self_attn/k_proj/MatMul+/vision_tower/vision_model/encoder/layers.10/self_attn/q_proj/MatMul_myl0_115
0.0,25028,2,12514.0,12514.0,5111,19917,10469.4,myelin-exec:/vision_tower/vision_model/encoder/layers.5/self_attn/out_proj/MatMul_myl0_66
0.0,25009,2,12504.5,12504.5,5102,19907,10468.7,myelin-exec:/layers.2/mlp/gateup_proj/MatMul_myl0_802
0.0,24991,2,12495.5,12495.5,4963,20028,10652.6,myelin-exec:/layers.10/mlp/gateup_proj_4/MatMul_myl0_2177
0.0,24991,2,12495.5,12495.5,5491,19500,9905.9,myelin-exec:/layers.7/mlp/gateup_proj_2/MatMul_myl0_1508
0.0,24907,2,12453.5,12453.5,8166,16741,6063.4,myelin-exec:__myl_Fc_myl0_468
0.0,24889,2,12444.5,12444.5,4306,20583,11509.6,myelin-exec:/vision_tower/vision_model/encoder/layers.7/self_attn/out_proj/MatMul_myl0_88
0.0,24889,2,12444.5,12444.5,4574,20315,11130.6,myelin-exec:__myl_Fc_myl0_1629
0.0,24880,2,12440.0,12440.0,2000,22880,14764.4,myelin-exec:__myl_SlicSlicMulMulMulAddMulTanhAddMulMulMulMulCast_myl0_1767
0.0,24860,2,12430.0,12430.0,4416,20444,11333.5,myelin-exec:/vision_tower/vision_model/encoder/layers.14/self_attn/v_proj/MatMul+/vision_tower/vision_model/encoder/layers.14/self_attn/k_proj/MatMul+/vision_tower/vision_model/encoder/layers.14/self_attn/q_proj/MatMul_myl0_159
0.0,24851,2,12425.5,12425.5,6092,18759,8956.9,myelin-exec:/layers.2/mlp/up_proj/MatMul_myl0_382
0.0,24842,2,12421.0,12421.0,7861,16981,6448.8,myelin-exec:/layers.13/mlp/down_proj/MatMul_myl0_662
0.0,24833,2,12416.5,12416.5,4787,20046,10789.7,myelin-exec:/vision_tower/vision_model/encoder/layers.26/self_attn/out_proj/MatMul_myl0_297
0.0,24824,2,12412.0,12412.0,7296,17528,7235.1,myelin-exec:__myl_Fc_myl0_640
0.0,24778,2,12389.0,12389.0,9222,15556,4478.8,myelin-exec:__myl_Fc_myl0_340
0.0,24777,2,12388.5,12388.5,4611,20166,10999.0,myelin-exec:/vision_tower/vision_model/encoder/layers.26/self_attn/v_proj/MatMul+/vision_tower/vision_model/encoder/layers.26/self_attn/k_proj/MatMul+/vision_tower/vision_model/encoder/layers.26/self_attn/q_proj/MatMul_myl0_291
0.0,24769,2,12384.5,12384.5,6732,18037,7993.8,myelin-exec:/layers.7/mlp/down_proj/MatMul_myl0_512
0.0,24741,2,12370.5,12370.5,6482,18259,8327.6,myelin-exec:/layers.2/mlp/gate_proj/MatMul_myl0_384
0.0,24676,2,12338.0,12338.0,8130,16546,5951.0,myelin-exec:/layers.6/mlp/gateup_proj_4/MatMul_myl0_2109
0.0,24575,2,12287.5,12287.5,5167,19408,10069.9,myelin-exec:/layers.3/mlp/gateup_proj/MatMul_myl0_819
0.0,24546,2,12273.0,12273.0,6231,18315,8544.7,myelin-exec:/layers.13/mlp/gateup_proj_8/MatMul_myl0_3464
0.0,24527,2,12263.5,12263.5,5796,18731,9146.4,myelin-exec:/layers.16/mlp/gateup_proj_7/MatMul_myl0_3206
0.0,24491,2,12245.5,12245.5,4639,19852,10757.2,myelin-exec:/vision_tower/vision_model/encoder/layers.19/self_attn/out_proj/MatMul_myl0_220
0.0,24481,2,12240.5,12240.5,7333,17148,6940.3,myelin-exec:/layers.1/mlp/gateup_proj_7/MatMul_myl0_2951
0.0,24481,2,12240.5,12240.5,4157,20324,11431.8,myelin-exec:/vision_tower/vision_model/encoder/layers.12/self_attn/out_proj/MatMul_myl0_143
0.0,24454,2,12227.0,12227.0,7371,17083,6867.4,myelin-exec:/layers.1/self_attn/qk_matmul/MatMul_myl0_345
0.0,24408,2,12204.0,12204.0,4537,19871,10842.8,myelin-exec:/vision_tower/vision_model/encoder/layers.14/self_attn/out_proj/MatMul_myl0_165
0.0,24398,2,12199.0,12199.0,5990,18408,8780.9,myelin-exec:/layers.14/mlp/gateup_proj_8/MatMul_myl0_3481
0.0,24388,2,12194.0,12194.0,8083,16305,5813.8,myelin-exec:__myl_Fc_myl0_393
0.0,24343,2,12171.5,12171.5,4685,19658,10587.5,myelin-exec:/vision_tower/vision_model/encoder/layers.10/self_attn/out_proj/MatMul_myl0_121
0.0,24324,2,12162.0,12162.0,7194,17130,7025.8,myelin-exec:__myl_Fc_myl0_373
0.0,24297,2,12148.5,12148.5,4769,19528,10436.2,myelin-exec:__myl_Fc_myl0_821
0.0,24278,2,12139.0,12139.0,9620,14658,3562.4,myelin-exec:__myl_Fc_myl0_1054
0.0,24259,2,12129.5,12129.5,5815,18444,8930.1,myelin-exec:/layers.16/self_attn/qk_matmul/MatMul_myl0_720
0.0,24250,2,12125.0,12125.0,6500,17750,7955.0,myelin-exec:/layers.3/mlp/gateup_proj_1/MatMul_myl0_1131
0.0,24203,2,12101.5,12101.5,6314,17889,8184.8,myelin-exec:/layers.17/mlp/gateup_proj_9/MatMul_myl0_3841
0.0,24175,2,12087.5,12087.5,6935,17240,7286.7,myelin-exec:/layers.16/mlp/gateup_proj/MatMul_myl0_1040
0.0,24175,2,12087.5,12087.5,4444,19731,10809.5,myelin-exec:/vision_tower/vision_model/encoder/layers.15/self_attn/out_proj/MatMul_myl0_176
0.0,24139,2,12069.5,12069.5,10584,13555,2100.8,myelin-exec:/vision_tower/vision_model/encoder/layers.17/mlp/fc2/MatMul_myl0_201
0.0,24121,2,12060.5,12060.5,6250,17871,8217.3,myelin-exec:/layers.3/mlp/down_proj/MatMul_myl0_412
0.0,24082,2,12041.0,12041.0,8388,15694,5166.1,myelin-exec:__myl_Fc_myl0_643
0.0,24075,2,12037.5,12037.5,6195,17880,8262.5,myelin-exec:/layers.9/mlp/gateup_proj_3/MatMul_myl0_1851
0.0,24075,2,12037.5,12037.5,4213,19862,11065.5,myelin-exec:/vision_tower/vision_model/encoder/layers.20/self_attn/out_proj/MatMul_myl0_231
0.0,24036,2,12018.0,12018.0,5870,18166,8694.6,myelin-exec:/layers.14/self_attn/av_matmul/MatMul_myl0_675
0.0,24019,2,12009.5,12009.5,4565,19454,10528.1,myelin-exec:/vision_tower/vision_model/encoder/layers.6/self_attn/v_proj/MatMul+/vision_tower/vision_model/encoder/layers.6/self_attn/k_proj/MatMul+/vision_tower/vision_model/encoder/layers.6/self_attn/q_proj/MatMul_myl0_71
0.0,23991,2,11995.5,11995.5,1102,22889,15405.7,myelin-exec:__myl_DivMulCastCastMulCastReshReshSlicSlic_myl0_1654
0.0,23963,2,11981.5,11981.5,4473,19490,10618.6,myelin-exec:/vision_tower/vision_model/encoder/layers.23/self_attn/v_proj/MatMul+/vision_tower/vision_model/encoder/layers.23/self_attn/k_proj/MatMul+/vision_tower/vision_model/encoder/layers.23/self_attn/q_proj/MatMul_myl0_258
0.0,23954,2,11977.0,11977.0,5250,18704,9513.4,myelin-exec:/layers.8/mlp/gateup_proj_1/MatMul_myl0_1216
0.0,23953,2,11976.5,11976.5,2000,21953,14108.9,myelin-exec:__myl_Slic_myl0_1709
0.0,23935,2,11967.5,11967.5,6602,17333,7588.0,myelin-exec:/layers.3/mlp/up_proj/MatMul_myl0_407
0.0,23925,2,11962.5,11962.5,4870,19055,10030.3,myelin-exec:/vision_tower/vision_model/encoder/layers.4/mlp/fc2/MatMul_myl0_58
0.0,23907,2,11953.5,11953.5,1963,21944,14128.7,myelin-exec:__myl_DivMulCastCastMulCastReshReshSlicSlic_myl0_1759
