Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.1,49856,10,4985.6,4544.0,4384,8960,1400.5,__myl_Fc_0x29b81c484bab894e4aff665b14f33e17_tensorop64x32_cga1x1_sm1_acc_float_tile_k_count_4_gemm_933_0
0.1,49536,10,4953.6,4560.0,4320,8512,1269.4,__myl_Fc_0x29b81c484bab894e4aff665b14f33e17_tensorop64x32_cga1x1_sm1_acc_float_tile_k_count_4_gemm_906_0
0.1,48832,10,4883.2,4432.0,4192,8704,1360.2,__myl_Fc_0x29b81c484bab894e4aff665b14f33e17_tensorop64x32_cga1x1_sm1_acc_float_tile_k_count_4_gemm_861_0
0.1,48128,10,4812.8,4736.0,4128,6048,486.5,__myl_Fc_0x29b81c484bab894e4aff665b14f33e17_tensorop64x32_cga1x1_sm1_acc_float_tile_k_count_4_gemm_816_0
0.1,47775,10,4777.5,4640.0,4320,6464,617.0,__myl_Fc_0x29b81c484bab894e4aff665b14f33e17_tensorop64x32_cga1x1_sm1_acc_float_tile_k_count_4_gemm_897_0
0.1,46752,10,4675.2,4672.0,4480,4896,145.8,__myl_Fc_0x29b81c484bab894e4aff665b14f33e17_tensorop64x32_cga1x1_sm1_acc_float_tile_k_count_4_gemm_951_0
0.1,46240,10,4624.0,4640.0,4288,4864,186.1,__myl_Fc_0x29b81c484bab894e4aff665b14f33e17_tensorop64x32_cga1x1_sm1_acc_float_tile_k_count_4_gemm_870_0
0.1,46240,10,4624.0,4496.0,4320,5440,358.6,__myl_Fc_0x29b81c484bab894e4aff665b14f33e17_tensorop64x32_cga1x1_sm1_acc_float_tile_k_count_4_gemm_915_0
0.1,46112,10,4611.2,4608.0,4288,4992,213.6,__myl_Fc_0x29b81c484bab894e4aff665b14f33e17_tensorop64x32_cga1x1_sm1_acc_float_tile_k_count_4_gemm_888_0
0.1,46048,10,4604.8,4528.0,4352,5408,306.7,__myl_Fc_0x29b81c484bab894e4aff665b14f33e17_tensorop64x32_cga1x1_sm1_acc_float_tile_k_count_4_gemm_942_0
0.1,46015,10,4601.5,4224.0,4064,7039,924.3,__myl_Fc_0xc2c16e331f89d521c04bf0c7f6d7cfb9_tensorop128x64_cga1x1_sm1_acc_float_tile_k_count_4_gemm_886_0
0.1,45984,10,4598.4,4560.0,4384,5280,263.9,__myl_Fc_0x29b81c484bab894e4aff665b14f33e17_tensorop64x32_cga1x1_sm1_acc_float_tile_k_count_4_gemm_807_0
0.1,45888,10,4588.8,4496.0,4384,5216,264.4,__myl_Fc_0x29b81c484bab894e4aff665b14f33e17_tensorop64x32_cga1x1_sm1_acc_float_tile_k_count_4_gemm_879_0
0.1,45758,10,4575.8,4607.5,4320,4992,220.1,__myl_Fc_0x29b81c484bab894e4aff665b14f33e17_tensorop64x32_cga1x1_sm1_acc_float_tile_k_count_4_gemm_834_0
0.1,45728,10,4572.8,4416.0,4160,5888,503.1,__myl_Fc_0xc2c16e331f89d521c04bf0c7f6d7cfb9_tensorop128x64_cga1x1_sm1_acc_float_tile_k_count_4_gemm_931_0
0.1,45664,10,4566.4,4256.0,4000,6688,831.0,__myl_Fc_0xc2c16e331f89d521c04bf0c7f6d7cfb9_tensorop128x64_cga1x1_sm1_acc_float_tile_k_count_4_gemm_940_0
0.1,45439,10,4543.9,4528.0,4320,4959,190.0,__myl_Fc_0x29b81c484bab894e4aff665b14f33e17_tensorop64x32_cga1x1_sm1_acc_float_tile_k_count_4_gemm_924_0
0.1,45344,10,4534.4,4544.0,4224,4896,211.2,__myl_Fc_0x29b81c484bab894e4aff665b14f33e17_tensorop64x32_cga1x1_sm1_acc_float_tile_k_count_4_gemm_825_0
0.1,44863,10,4486.3,4448.0,4352,4672,132.9,__myl_Fc_0x29b81c484bab894e4aff665b14f33e17_tensorop64x32_cga1x1_sm1_acc_float_tile_k_count_4_gemm_959_0
0.1,44064,10,4406.4,4240.0,4032,6304,682.8,__myl_Fc_0xc2c16e331f89d521c04bf0c7f6d7cfb9_tensorop128x64_cga1x1_sm1_acc_float_tile_k_count_4_gemm_841_0
0.1,43648,1,43648.0,43648.0,43648,43648,0.0,__myl_CastGathReshMulReshTranReshTranSlicReshSlicReshSlicReshConcCastMulMeanAddSqrtDivMulMulCast_0x30a616e623654523219fd54b7ee853f9_com
0.1,43552,10,4355.2,4224.0,4032,5344,375.7,__myl_Fc_0xc2c16e331f89d521c04bf0c7f6d7cfb9_tensorop128x64_cga1x1_sm1_acc_float_tile_k_count_4_gemm_949_0
0.1,43392,10,4339.2,4256.0,4160,5248,324.0,__myl_Fc_0xc2c16e331f89d521c04bf0c7f6d7cfb9_tensorop128x64_cga1x1_sm1_acc_float_tile_k_count_4_gemm_859_0
0.1,43136,10,4313.6,4144.0,3968,5440,438.2,__myl_Fc_0xc2c16e331f89d521c04bf0c7f6d7cfb9_tensorop128x64_cga1x1_sm1_acc_float_tile_k_count_4_gemm_850_0
0.1,42912,10,4291.2,4208.0,4064,5120,303.4,__myl_Fc_0xc2c16e331f89d521c04bf0c7f6d7cfb9_tensorop128x64_cga1x1_sm1_acc_float_tile_k_count_4_gemm_895_0
0.1,42720,10,4272.0,4240.0,4032,5024,291.4,__myl_Fc_0xc2c16e331f89d521c04bf0c7f6d7cfb9_tensorop128x64_cga1x1_sm1_acc_float_tile_k_count_4_gemm_823_0
0.1,42720,10,4272.0,4288.0,4096,4448,104.8,__myl_Fc_0xc2c16e331f89d521c04bf0c7f6d7cfb9_tensorop128x64_cga1x1_sm1_acc_float_tile_k_count_4_gemm_913_0
0.1,42560,10,4256.0,4224.0,4064,4608,148.6,__myl_Fc_0xc2c16e331f89d521c04bf0c7f6d7cfb9_tensorop128x64_cga1x1_sm1_acc_float_tile_k_count_4_gemm_868_0
0.1,42368,10,4236.8,4208.0,4032,4544,156.9,__myl_Fc_0xc2c16e331f89d521c04bf0c7f6d7cfb9_tensorop128x64_cga1x1_sm1_acc_float_tile_k_count_4_gemm_877_0
0.1,42272,10,4227.2,4224.0,4064,4384,105.0,__myl_Fc_0xc2c16e331f89d521c04bf0c7f6d7cfb9_tensorop128x64_cga1x1_sm1_acc_float_tile_k_count_4_gemm_922_0
0.1,42240,10,4224.0,4256.0,4032,4384,120.7,__myl_Fc_0xc2c16e331f89d521c04bf0c7f6d7cfb9_tensorop128x64_cga1x1_sm1_acc_float_tile_k_count_4_gemm_958_0
